#SPHEREx.m1636
#photon
#SPHEREx phtometry-like filter m1636
16061.480832701756 0.0
16071.480832701754 0.0
16081.480832701753 0.0
16091.480832701753 0.0
16101.48083270175 0.0
16111.48083270175 0.0
16121.480832701749 0.0
16131.480832701747 0.0
16141.480832701747 0.0
16151.480832701745 0.0
16161.480832701745 1.0
16171.480832701744 1.0
16181.480832701742 1.0
16191.480832701742 1.0
16201.48083270174 1.0
16211.480832701738 1.0
16221.480832701738 1.0
16231.480832701736 1.0
16241.480832701736 1.0
16251.480832701734 1.0
16261.480832701733 1.0
16271.480832701733 1.0
16281.48083270173 1.0
16291.48083270173 1.0
16301.480832701729 1.0
16311.480832701727 1.0
16321.480832701727 1.0
16331.480832701725 1.0
16341.480832701725 1.0
16351.480832701724 1.0
16361.480832701722 1.0
16371.480832701722 1.0
16381.48083270172 1.0
16391.48083270172 1.0
16401.480832701716 1.0
16411.480832701716 1.0
16421.480832701716 1.0
16431.480832701716 1.0
16441.480832701713 1.0
16451.480832701713 1.0
16461.480832701713 1.0
16471.48083270171 1.0
16481.48083270171 1.0
16491.48083270171 1.0
16501.480832701705 1.0
16511.480832701705 1.0
16521.480832701705 1.0
16531.480832701705 1.0
16541.4808327017 1.0
16551.4808327017 1.0
16561.4808327017 1.0
16571.480832701698 0.0
16581.480832701698 0.0
16591.480832701698 0.0
16601.480832701694 0.0
16611.480832701694 0.0
16621.480832701694 0.0
16631.480832701694 0.0
16641.48083270169 0.0
16651.48083270169 0.0
16661.48083270169 0.0
